순서,기업명(한국어),기업명(일본어),국가,업종,장르,MA접근,딜형태,분류,시총_억엔,매출_억엔,이익률(%),직원수,대표이사,자체IP,주요타이틀,기업특징,장점,단점리스크,주주구조,MA판단근거,소스,수정메모
1.0,라인야후,LINEヤフー,일본,판매원,비서브,N,,,28600.0,20363.0,24.6,10400.0,出澤剛,N,LINE、Yahoo! JAPAN、PayPay、Yahoo!ショッピング,日本最大のインターネット企業。LINE・Yahoo! JAPANを核に検索・EC・金融・通信サービスを展開。2026年3月期売上過去最高2兆363億円。,国内9700万MAUのLINEと検索首位Yahoo!を持つ圧倒的ユーザー基盤,2023年大規模個人情報漏洩（約52万件）によるNAVERとのシステム分離義務。ガバナンス問題継続,SoftBank（議決権約50%）、NAVER（約34%）が支配株主,시총 2.7조엔 초대형 플랫폼사로 게임 M&A 대상으로는 비현실적. 퍼블리싱 PF 활용 관점에서만 검토 가능.,orig,[2025-2026 업데이트] 2026年4月にNAVERとのシステム分離を完全完了。2026年3月期純利益は前期比26%増の1936億円と3期ぶりに過去最高益更新。
2.0,반다이남코엔터테인먼트,バンダイナムコエンタ,일본,개발/운영,서브,N,,,24801.0,13480.0,14.1,11345.0,浅古有寿,Y,ELDEN RING、ELDEN RING NIGHTREIGN（2025年）、鉄拳8、ドラゴンボールSZ（540万本）、Gakuen Idolmaster,バンダイナムコホールディングス傘下のゲーム事業会社。ELDEN RING・鉄拳・ドラゴンボール等のIPを保有。2025年3月期にゲーム事業利益が前期比995%増と急拡大。,FromSoftwareとの協業によるElden RingのグローバルIP化。バンダイとの玩具・アニメ連携によるIP相乗効果,大型タイトルへの依存度高く、ヒット不在期の業績ブレが大きい,バンダイナムコホールディングス（7832）の100%子会社,반다이남코HD 100% 완전자회사이자 그룹 IP 사업의 핵심. 단독 매수 불가 구조. IP 콜라보·퍼블리싱 협업 파트너로만 접근 가능.,orig,"[2025-2026 업데이트] 2025年3月期にELDEN RING DLC等でゲーム事業利益が前期比995%増。グループ売上1兆2415億円・営業益1802億円と過去最高更新。
[정정] 매출 12,415→13,480억엔(+8.6%), 이익률 14.5→14.1%로 갱신(as-of FY 기준)."
3.0,스퀘어에닉스,スクウェア・エニックス,일본,개발/운영,비서브,N,,,9557.0,2977.0,18.4,4604.0,桐生隆司,Y,FF7リバース（マルチプラットフォーム化）、FF16、ドラゴンクエスト（HD-2Dリメイク）,FF・ドラクエを核とする大型RPGIPを保有する老舗ゲーム企業。2024年に複数HDゲーム失敗と220億円の開発費廃棄損を計上。桐生社長のもと「量から質」戦略を遂行中。,FF・DQという世界的IPの競争優位。RPGジャンルでの30年以上にわたるブランド力,複数の高額HDゲームがアンダーパフォーム。プラットフォーム独占戦略の失敗から回復途上,スクウェア・エニックスHD（9684）が上場持株会社,"시총 9,722억엔, 창업자 후쿠시마 19.65% 지분으로 독립경영 의지 강. IP 라이센스·공동개발 협업은 가능.",orig,"[2025-2026 업데이트] 2025年3月期純利益前期比87.8%増と回復。マルチプラットフォーム転換・少数精鋭集中投資戦略を推進。Switch2版FF7リメイク等を準備中。
[정정] FY2026 매출 2,977억엔, 이익률 18.4%로 갱신(구조조정 영향 포함)."
4.0,세가,セガ,일본,개발/운영,비서브,X,,,4800.0,4289.0,11.2,8623.0,里見治紀,Y,Like a Dragon: Infinite Wealth、メタファー:リファンタジオ、ソニック×シャドウ ジェネレーションズ、ペルソナ5X,セガサミーホールディングス傘下のゲーム事業。龍が如く・メタファー・ソニック・ペルソナ等の多彩なIPを保有。2025年3月期経常益374%増の352億円と大幅改善。,龍が如くスタジオ・アトラスの個性的IP群とグローバルファン基盤。ソニックIPのゲーム・映画クロスメディア展開,パチンコ等アミューズメント事業（親会社）の不確実性。ゲーム専業でない持株会社構造,セガサミーホールディングス（6460）の子会社。里見一族が親会社の支配株主,세가사미홀딩스 100% 완전자회사로 파친코·파치슬로 사업과 일체화. 게임단독 분리매수 불가. 또한 넥슨과 경쟁 장르에서 이해충돌 발생 우려.,orig,"[2025-2026 업데이트] 2025年3月期はメタファー・龍が如く8外伝・ソニックが好調で経常益374%増を達成。ペルソナ5X（スマホ）の国内展開を2025年夏予定。
[정정] FY2026 손상(주요: Stakelogic 관련) 및 순손실 전환 이슈 반영 필요. 과거 '경상이익 374% 증가' 같은 구시점 문구는 제거/갱신 권장. (as-of FY2026 기준으로 재작성)"
5.0,토호게임즈,TOHO Games,일본,판매원,비서브,N,,,14200.0,3130.0,20.7,,마츠오카 히로야스,Y,呪術廻戦 ファントムパレード（累計400万DL超）,東宝株式会社（9602）の100%子会社。呪術廻戦・進撃の巨人等の東宝IPを活用したスマホゲームを開発・運営。,東宝グループが保有する強力アニメIP（呪術廻戦等）を活用したゲーム開発。安定したグループ資本基盤,非上場子会社のため単体財務情報非公開。スマホゲーム市場の競争激化,東宝株式会社（9602）が100%親会社,도호 주식회사 게임 사업부문으로 시총 1.4조엔 종합 엔터 기업. 게임 단독 매수 불가. 일본 영화·IP 콜라보 파트너십 관점에서 검토.,orig,[2025-2026 업데이트] 呪術廻戦 ファントムパレードが累計400万DL突破。親会社東宝は2025年2月期に過去最高水準の経常利益を達成。
6.0,코나미디지털엔터테인먼트,コナミデジタルエンタ,일본,개발/운영,비서브,N,,,25010.0,4937.0,25.9,9039.0,東尾公彦,Y,eFootball（累計10億DL）、プロ野球スピリッツ、遊戯王OCG/MD、メタルギアソリッドΔ、桃太郎電鉄2,コナミグループのゲーム事業中核。eFootball・プロスピ・遊戯王・メタルギア等のIPを保有。2025年3月期売上4216億円と3期連続で過去最高を更新。,eFootball累計10億DL超、プロスピ等モバイル主力タイトルの安定課金収益。デジタル×リアル融合IP戦略,大型コンソール新作の不足。MGSΔなど大型タイトル発売遅延リスク,コナミグループが100%所有。コナミグループの筆頭株主は東尾一族,코나미그룹 100% 완전자회사 + 창업자계 27%. 자체 수익성(영업이익률 32%) 높아 매각 인센티브 없음. IP 협업 파트너십만 현실적.,orig,"[2025-2026 업데이트] 2026年3月期Q3も売上・営業利益が前年比+13~17%増で過去最高連続更新。メタルギアソリッドΔは累計200万本突破。
[정정] 매출 4,216→4,937억엔(+17%)로 갱신(as-of FY 기준)."
7.0,카도카와,KADOKAWA,일본,판매원,서브,X,,,4700.0,2829.0,2.9,6967.0,나쓰노 타케시(夏野剛) ※2026년 6월 24일 주총에서 Oasis의 해임 제안 계류 중,Y,"ELDEN RING(FromSoftware, 2022), ELDEN RING NIGHTREIGN(2025.5, 500만장), ELDEN RING DLC Forsaken Hollows(2025.12), 니코니코 동화(Dwango), KADOKAWAライトノベル·아니메 IP군","출판·영상·게임·애니·교육 종합 콘텐츠 기업. FY2026(2026년3월기) 매출 2829억엔(+1.8%), 영업이익 81억엔(-51.3%), 순이익 12.8억엔(-82.7%)으로 대폭 악화. 2024년 6월 랜섬웨어 피해(니코니코 서비스 2개월 정지). 2025년 1월 소니 500억엔 투자(10%). 2026년 3월 홍콩계 행동주의 펀드 Oasis Management가 13.76% 취득해 최대주주 등극.",ELDEN RING(FromSoftware) 등 세계적 IP 보유. 소니와의 자본업무제휴로 글로벌 애니·게임 배급망 확보. 라이트노벨·웹소설 원천 IP에서 게임·애니·영화로 수직통합하는 크로스미디어 모델,"FY2026 순이익 -82.7% 대폭 악화. Oasis Management CEO 해임 제안으로 경영 불안정(2026년 6월 주총 결과 주목). 출판 세그먼트 이세계 장르 의존, 애니메이션 세그먼트 적자 전환. 2024년 랜섬웨어 피해 후유증 지속","Oasis Management(홍콩 행동주의 펀드) 13.76%(최대주주, 2026.3 취득), 소니그룹 약 10%(2025.1 취득), 각도카와 일족","시총 4,458억엔으로 매수 규모 극히 큼. 소니·반남이 전략 주주로 참여해 독립 매수 구조적으로 어려움. IP 파트너십(콜라보·퍼블리싱)은 상호 유리.",orig,"[2025-2026 최신 업데이트] ① ELDEN RING NIGHTREIGN 2025년 5월 출시→5일 350만장·7월 500만장 달성. ② 소니 10% 투자(2025.1) 후 Oasis Management 13.76% 취득으로 최대주주 교체(2026.3). ③ Oasis, 나쓰노 CEO 해임 주총 제안(2026.5). 이사회는 반대 의견. 2026.6.24 주총 예정. ④ FY2026 영업이익 51.3% 급감, 순이익 82.7% 감소. ⑤ 니코니코 2024.8.5 복구 완료(기능 일부 영구 삭제). ⑥ FY2027 목표: 매출 3003억엔, 영업이익 101억엔."
8.0,캡콤,カプコン,일본,개발/판매,비서브,N,,,18660.0,1954.0,38.5,3766.0,辻本春弘,Y,Monster Hunter Wilds（2025年2月・1ヶ月1000万本突破）、ドラゴンズドグマ2（400万本超）、ストリートファイター6,モンスターハンター・バイオハザード・ストリートファイター等のグローバルIPを保有。8期連続営業増益達成。2025年3月期に全利益項目が過去最高。,「1タイトル数千万本」を実現するグローバルIPの圧倒的な強さ。デジタル販売移行による利益率の継続的改善,主力IPへの依存集中。ヒット作の発売サイクルによる業績変動リスク,辻本憲三・春弘ファミリーが安定保有。外国人機関投資家比率高い,"시총 2조엔 초과, 영업이익률 38%의 초우량사로 매각 인센티브 제로. IP 콜라보 협업만 현실적.",orig,[2025-2026 업데이트] Monster Hunter Wilds（2025年2月発売）は発売3日で800万本・1ヶ月で1000万本を達成しカプコン史上最速記録。2025年3月期は8期連続で全利益項目が過去最高。
9.0,디엔에이,DeNA,일본,개발/운영,비서브,N,,,3670.0,1640.0,17.7,2100.0,岡村信悟,N,ポケモンTCGポケット（ポケポケ、累計1億DL超）、グランブルーファンタジー、プロ野球バーサス,ポケモンTCGポケット（ポケポケ）の大ヒットにより2025年3月期に大幅黒字転換。スポーツ（横浜DeNAベイスターズ）・ライブ配信事業も展開するモバイルゲーム企業。,ポケポケの1億DL・MAU5100万人という大ヒット。ポケモンとの強固なパートナーシップ,ポケポケ反動減による2026年3月期の大幅減益（営業益35.5%減）。次なるヒットタイトルへの依存問題,南場智子（代表取締役会長）が主要株主。機関投資家多数,창업자 남바 토모코 17.78% + 닌텐도 대주주로 안정 지분 구조. 게임 외 헬스케어·스포츠 사업 포함으로 부대사업 과다. 재무 미검토(N).,orig,[2025-2026 업데이트] 2024年10月リリースのポケポケが累計1億DL・ゲーム事業利益1016%増を実現し2025年3月期を大幅黒字転換。ポケポケ新シリーズを2025年秋より開始予定。
10.0,믹시,MIXI,일본,개발/운영,비서브,X,,,1650.0,1548.0,12.9,,木村弘毅,Y,モンスターストライク（世界6500万ユーザー）、STRIKE WORLD（インド向けグローバル版、2026年4月開始）,モンスターストライクを主力とするゲーム・スポーツ複合企業。スポーツ事業（FC東京株主等）・家族アルバムみてねも展開。2025年3月期営業益38%増の266億円と大幅増益。,モンスト（世界累計6500万ユーザー）の根強いユーザー基盤と安定課金収益。スポーツ・ライフスタイル事業との多角化,モンスト依存（売上の約7割）からの脱却が課題。国内スマホゲーム市場の縮小トレンド,木村弘毅社長が主要株主。機関投資家多数,창업자 카사하라 씨 단독 약 50% 지분 보유. SNS 기원의 독자 기업문화로 넥슨 온라인게임 문화와 통합 어려움. 몬스트 자산가치와 다각화 사업으로 매각 인센티브 전혀 없음.,orig,"[2025-2026 업데이트] 2025年3月期営業益38%増の266億円。2026年4月にインド向けグローバル版「STRIKE WORLD」を本格展開開始。モンスト累計6500万ユーザーを突破。
[정정] 시총 2,211→약 1,650억엔(-25%), 이익률 17.2→12.9%로 갱신(as-of FY/기준일 필요)."
11.0,애니플렉스,アニプレックス,일본,판매원,서브,X,,,,1200.0,15.4,800.0,니시모토 슈,Y,"Fate/Grand Order, 귀멸의 칼날 관련, Blue Protocol(서비스 종료 2024), Heaven Burns Red","소니뮤직엔터테인먼트재팬 100% 자회사. 애니메이션 기획·제작·배급 및 모바일 게임 퍼블리싱 중심. A-1 Pictures, CloverWorks 등 보유.","귀멸의 칼날·페이트 등 초강력 IP, 소니 그룹 글로벌 유통망, 애니메이션-게임 시너지","FGO 수익 성숙화, 비상장으로 외부 자금 조달 제약, 히트작 의존 구조",소니 뮤직 엔터테인먼트 재팬 100%,소니뮤직엔터 100% 완전자회사이자 소니그룹 엔터 전략의 핵심 자산. FGO라는 장기 히트로 매각 인센티브 전혀 없음. IP 콜라보·퍼블리싱 협업 파트너로서 접근.,orig,"[2025-2026 업데이트] 이와카미 아츠히로 사장 소니뮤직 CEO로 승진, 니시모토 슈 신사장 취임(2026년 4월). 2025년 3월 Crunchyroll과 합작사 Hayate Inc. 설립."
12.0,사이게임즈,Cygames,일본,개발/운영,서브,X,,,,1400.0,24.1,3600.0,와타나베 코이치,Y,"그랜블루판타지, 우마무스메 프리티더비, 그란블루판타지 리링크(2024), Gakuen Idolmaster(2024), Shadow Verse: Worlds Beyond",사이버에이전트 약 69% 출자 비상장 자회사. 그랜블루판타지·우마무스메 등 초히트 IP 보유. 그란블루판타지 리링크·가쿠엔 아이마스로 2024년 실적 대폭 개선.,"초강력 IP 멀티라인업, 고품질 콘솔/모바일 이중 전략","비상장으로 투명성 한계, 콘솔 투자 비용 증가, 경쟁 심화","CyberAgent 약 69%, DeNA 약 24%, Nintendo 약 5%","사이버에이전트 그룹의 매출 1,375억엔 핵심 수익원. 그룹 전체 실적의 40%이상 기여. 매각 가능성 제로. 단, 퍼블리싱 협업 시 넥슨 타이틀 품질 기준 충족 필수.",orig,[2025-2026 업데이트] 2024년 2월 그란블루판타지 리링크 콘솔 출시로 전 세계 호평. Gakuen Idolmaster 히트로 CyberAgent 게임부문 영업이익 34.6% 증가.
